,Brand,Model,Variant,Year,Location,Ownership,KM Driven,Fuel,Transmission,Price
0,Maruti,Ignis,1.2 AMT Zeta BSIV,2021,HR,1st,"3,010",Petrol,Automatic,"7,21,000"
1,Maruti,Alto,LXi,2020,UP,1st,"7,326",Petrol,Manual,"3,82,000"
2,Maruti,Baleno,1.2 Zeta,2019,HR,1st,"17,032",Petrol,Manual,"7,13,000"
3,Toyota,Innova,2.8 ZX AT BSIV,2017,HR,1st,"83,409",Diesel,Automatic,"19,76,000"
4,Hyundai,Grand,Magna,2017,DL,2nd,"17,032",Petrol,Manual,"4,36,000"
5,Hyundai,EON,Era Plus,2016,DL,1st,"38,620",Petrol,Manual,"3,15,000"
6,Hyundai,i20,Sportz 1.2,2016,DL,1st,"41,235",Petrol,Manual,"5,56,000"
7,Maruti,Baleno,Delta,2020,DL,1st,"7,169",Petrol,Manual,"6,92,000"
8,Maruti,Baleno,1.2 Zeta,2020,UP,2nd,"2,279",Petrol,Manual,"7,10,000"
9,Renault,KWID,1.0 RXT Opt,2020,UP,1st,"19,571",Petrol,Manual,"4,47,000"
10,Maruti,Ciaz,Alpha,2018,UP,1st,"32,066",Petrol,Manual,"8,79,000"
11,Maruti,Alto,VXI,2015,UP,1st,"65,594",Petrol,Manual,"2,81,000"
12,Renault,KWID,RXL,2020,HR,1st,"11,425",Petrol,Manual,"4,04,000"
13,Maruti,Ciaz,ZDi Option,2014,DL,2nd,"65,952",Diesel,Manual,"4,83,000"
14,Maruti,Swift,VXI,2015,DL,1st,"56,388",Petrol,Manual,"4,62,000"
15,Chevrolet,Cruze,['LTZ AT'],2011,DL,First,"71,000",Diesel,Automatic,2.25
16,Maruti,Swift,['Dzire Vdi'],2013,DL,First,"87,610",Diesel,Manual,3.3
17,Ford,Ecosport,['1.5 Dv5 Mt Titanium'],2014,DL,First,"2,60,596",Diesel,Manual,3.88
18,Bmw,Z4,['Sdrive 20i'],2020,DL,First,"5,000",Petrol,Automatic,74
19,Mercedes-benz,Gls,['350d Grand Edition'],2018,HR,First,"27,000",Diesel,Automatic,76
20,Maruti,Baleno,Delta,2019,HR,1st,"19,282",Petrol,Manual,"6,49,000"
21,Hyundai,i20,Sportz,2014,DL,1st,"43,572",Petrol,Manual,"4,06,000"
22,Maruti,Swift,VXI,2013,HR,1st,"24,073",Petrol,Manual,"3,81,000"
23,Jeep,Compass,2.0 Limited,2018,HR,2nd,"31,983",Diesel,Manual,"12,77,000"
24,Maruti,Baleno,1.2 Delta,2018,DL,1st,"67,877",Petrol,Manual,"5,90,000"
25,Renault,KWID,1.0 RXT Optional,2019,UP,1st,"21,478",Petrol,Manual,"3,87,000"
26,Hyundai,i20,1.2 Asta,2018,UP,1st,"28,451",Petrol,Manual,"6,57,000"
27,Hyundai,Santro,Sportz,2018,DL,1st,"10,671",Petrol,Manual,"4,90,000"
28,Maruti,Alto,VXI AMT,2015,DL,1st,"48,927",Petrol,Automatic,"3,41,000"
29,Maruti,S-Presso,VXI,2020,DL,1st,"33,152",Petrol,Manual,"4,37,000"
30,Hyundai,Grand,Magna,2015,DL,1st,"69,536",Petrol,Manual,"4,04,000"
31,Toyota,Etios,G,2016,HR,1st,"45,471",Petrol,Manual,"3,99,000"
32,Honda,Amaze,VX Petrol,2020,UP,1st,"1,879",Petrol,Manual,"7,82,000"
33,Hyundai,Santro,Magna BSIV,2018,HR,1st,"1,144",Petrol,Manual,"4,64,000"
34,Honda,WR-V,i-VTEC VX,2017,DL,1st,"66,531",Petrol,Manual,"7,00,000"
35,Maruti,Baleno,1.2 Delta,2018,HR,1st,"14,744",Petrol,Manual,"6,29,000"
36,Maruti,Swift,VXI 1.2 BS IV,2019,DL,1st,"19,983",Petrol,Manual,"6,47,000"
37,Maruti,Alto,LXI,2020,DL,1st,"31,481",Petrol,Manual,"3,48,000"
38,Maruti,Ertiga,VDI,2014,DL,1st,"72,395",Diesel,Manual,"4,70,000"
39,Hyundai,i20,Sportz 1.2,2015,UP,1st,"88,422",Petrol,Manual,"5,00,000"
40,Maruti,Baleno,Delta,2019,HR,1st,"19,282",Petrol,Manual,"6,49,000"
41,Hyundai,i20,Sportz,2014,DL,1st,"43,572",Petrol,Manual,"4,06,000"
42,Maruti,Swift,VXI,2013,HR,1st,"24,073",Petrol,Manual,"3,81,000"
43,Jeep,Compass,2.0 Limited,2018,HR,2nd,"31,983",Diesel,Manual,"12,77,000"
44,Maruti,Baleno,1.2 Delta,2018,DL,1st,"67,877",Petrol,Manual,"5,90,000"
45,Renault,KWID,1.0 RXT Optional,2019,UP,1st,"21,478",Petrol,Manual,"3,87,000"
46,Hyundai,i20,1.2 Asta,2018,UP,1st,"28,451",Petrol,Manual,"6,57,000"
47,Hyundai,Santro,Sportz,2018,DL,1st,"10,671",Petrol,Manual,"4,90,000"
48,Maruti,Alto,VXI AMT,2015,DL,1st,"48,927",Petrol,Automatic,"3,41,000"
49,Maruti,S-Presso,VXI,2020,DL,1st,"33,152",Petrol,Manual,"4,37,000"
50,Hyundai,Grand,Magna,2015,DL,1st,"69,536",Petrol,Manual,"4,04,000"
51,Toyota,Etios,G,2016,HR,1st,"45,471",Petrol,Manual,"3,99,000"
52,Honda,Amaze,VX Petrol,2020,UP,1st,"1,879",Petrol,Manual,"7,82,000"
53,Hyundai,Santro,Magna BSIV,2018,HR,1st,"1,144",Petrol,Manual,"4,64,000"
54,Honda,WR-V,i-VTEC VX,2017,DL,1st,"66,531",Petrol,Manual,"7,00,000"
55,Maruti,Baleno,1.2 Delta,2018,HR,1st,"14,744",Petrol,Manual,"6,29,000"
56,Maruti,Swift,VXI 1.2 BS IV,2019,DL,1st,"19,983",Petrol,Manual,"6,47,000"
57,Maruti,Alto,LXI,2020,DL,1st,"31,481",Petrol,Manual,"3,48,000"
58,Maruti,Ertiga,VDI,2014,DL,1st,"72,395",Diesel,Manual,"4,70,000"
59,Hyundai,i20,Sportz 1.2,2015,UP,1st,"88,422",Petrol,Manual,"5,00,000"
60,Jeep,Compass,1.4 Sport,2018,DL,1st,"19,427",Petrol,Manual,"13,31,000"
61,Maruti,Swift,VDI,2014,DL,1st,"1,17,915",Diesel,Manual,"3,44,000"
62,Maruti,Baleno,1.2 Zeta,2017,2,1st,"23,641",Petrol,Automatic,"5,85,000"
63,Honda,Brio,S MT,2014,DL,1st,"28,205",Petrol,Manual,"3,41,000"
64,Hyundai,Verna,1.6 CRDi S,2016,DL,1st,"88,404",Diesel,Manual,"6,77,000"
65,Maruti,Vitara,ZDi,2017,DL,1st,"82,529",Diesel,Manual,"6,32,000"
66,Hyundai,Grand,Magna,2015,DL,1st,"69,208",Petrol,Manual,"3,91,000"
67,Maruti,Swift,VDI,2014,DL,1st,"1,14,345",Diesel,Manual,"3,46,000"
68,Hyundai,Creta,1.6 CRDi SX Plus,2015,HR,1st,"1,19,226",Diesel,Manual,"7,53,000"
69,Skoda,Rapid,1.0 TSI Style,2020,DL,1st,"8,826",Petrol,Manual,"11,24,000"
70,Maruti,S-Presso,VXI Plus,2021,DL,1st,"2,237",Petrol,Manual,"5,11,000"
71,MG,Hector,Sharp AT BSIV,2021,HR,1st,"6,424",Petrol,Automatic,"19,05,000"
72,Honda,Amaze,S Petrol,2019,UP,1st,"33,769",Petrol,Manual,"6,30,000"
73,Maruti,Alto,2010-2014 VXI,2012,DL,1st,"14,902",Petrol,Manual,"2,24,000"
74,Hyundai,Santro,Magna BSIV,2019,DL,1st,"2,007",Petrol,Manual,"4,90,000"
75,Maruti,Baleno,1.2 Delta,2019,DL,1st,"27,915",Petrol,Manual,"6,70,000"
76,Hyundai,i20,1.2 Spotz,2018,HR,1st,"66,491",Petrol,Manual,"5,98,000"
77,Maruti,Ciaz,Alpha AT,2019,DL,1st,"25,656",Petrol,Automatic,"10,30,000"
78,Hyundai,Grand,Sportz,2016,DL,1st,"17,695",Petrol,Manual,"4,20,000"
79,Honda,City,1.5 V AT,2011,HR,1st,"1,07,582",Petrol,Automatic,"3,60,000"
80,Renault,KWID,1.0 RXT Optional,2018,UP,1st,"42,448",Petrol,Manual,"3,51,000"
81,Hyundai,i20,1.2 Spotz,2018,UP,1st,"51,228",Petrol,Manual,"5,86,000"
82,Maruti,Ciaz,VDi,2014,DL,1st,"78,178",Diesel,Manual,"4,01,000"
83,Datsun,RediGO,1.0 T Option,2021,UP,1st,"1,233",Petrol,Manual,"4,66,000"
84,Maruti,Alto,LXi,2020,DL,1st,"19,426",Petrol,Manual,"3,65,000"
85,Maruti,Baleno,Delta,2019,DL,1st,"28,296",Petrol,Manual,"6,60,000"
86,Hyundai,Grand,AMT Sportz,2019,DL,1st,"10,553",Petrol,Automatic,"6,93,000"
87,Tata,Tiago,1.2 Revotron XZ,2018,HR,1st,"81,696",Petrol,Manual,"4,36,000"
88,Maruti,Swift,VXI 1.2,2019,DL,1st,"10,367",Petrol,Manual,"6,82,000"
89,Honda,City,i VTEC S,2015,DL,1st,"33,072",Petrol,Manual,"5,98,000"
90,Hyundai,Grand,Magna,2016,DL,1st,"38,279",Petrol,Manual,"4,30,000"
91,Nissan,Kicks,1.5 XV,2021,HR,1st,"8,901",Petrol,Manual,"10,22,000"
92,Maruti,S-Presso,VXI,2021,HR,1st,"3,725",Petrol,Manual,"4,50,000"
93,Honda,Jazz,V CVT,2018,DL,1st,"21,565",Petrol,Automatic,"7,00,000"
94,Hyundai,Xcent,1.1 CRDi S Option,2015,DL,1st,"1,09,364",Diesel,Manual,"3,16,000"
95,Mahindra,TUV,T8 AMT,2016,DL,1st,"50,994",Diesel,Automatic,"5,35,000"
96,Renault,KWID,RXL,2015,DL,1st,"16,302",Petrol,Manual,"2,45,000"
97,Maruti,Alto,VXI,2019,HR,1st,"42,652",Petrol,Manual,"3,17,000"
98,Maruti,Ignis,1.2 AMT Delta BSIV,2019,DL,1st,"5,598",Petrol,Automatic,"5,20,000"
99,Maruti,Ciaz,ZXi,2015,DL,1st,"96,081",Petrol,Manual,"5,35,000"
100,Honda,Amaze,VX Petrol,2020,DL,1st,"14,116",Petrol,Manual,"7,66,000"
101,Maruti,Baleno,1.2 Alpha,2016,HR,1st,"53,333",Petrol,Manual,"5,55,000"
102,Toyota,Fortuner,4X2 Diesel AT,2017,DL,1st,"75,433",Diesel,Automatic,"27,85,000"
103,Maruti,Swift,VXI BSIV,2016,DL,1st,"47,285",Petrol,Manual,"4,85,000"
104,Toyota,Glanza,G CVT,2021,HR,1st,"11,565",Petrol,Automatic,"8,80,000"
105,Hyundai,Creta,1.6 CRDi SX Plus,2016,DL,1st,"52,756",Diesel,Manual,"8,53,000"
106,Hyundai,Creta,1.6 CRDi SX Option,2016,HR,1st,"89,712",Diesel,Manual,"8,00,000"
107,Hyundai,i20,1.2 Magna Executive,2018,DL,1st,"17,217",Petrol,Manual,"6,00,000"
108,Hyundai,Santro,Sportz,2019,DL,1st,"6,104",Petrol,Manual,"5,01,000"
109,Hyundai,Verna,VTVT 1.6 SX,2019,DL,1st,"15,775",Petrol,Manual,"10,24,000"
